partyId,agent,seedIndex,decisions,repeatedTitlesExact,repeatedTitlesNormalized,repeatedNarrativesExact,repeatedNarrativesNormalized,repeatsWithin5,repeatsWithin10,chainJustifiedRepeats
lfi,aleatoire,47,31,0,0,0,0,0,0,0
lfi,aleatoire,48,29,0,0,0,0,0,0,0
lfi,aleatoire,49,31,0,0,0,0,0,0,0
lfi,aleatoire,50,31,0,0,0,0,0,0,0
lfi,aleatoire,51,31,0,0,0,0,0,0,0
lfi,aleatoire,52,25,0,0,0,0,0,0,0
lfi,aleatoire,53,29,0,0,0,0,0,0,0
lfi,aleatoire,54,31,0,0,0,0,0,0,0
lfi,aleatoire,55,31,0,0,0,0,0,0,0
lfi,aleatoire,56,31,0,0,0,0,0,0,0
lfi,aleatoire,57,31,0,0,0,0,0,0,0
lfi,aleatoire,58,31,0,0,0,0,0,0,0
lfi,aleatoire,59,31,0,0,0,0,0,0,0
lfi,prudent,0,31,0,0,0,0,0,0,0
lfi,prudent,1,31,0,0,0,0,0,0,0
lfi,prudent,2,29,0,0,0,0,0,0,0
lfi,prudent,3,29,0,0,0,0,0,0,0
lfi,prudent,4,31,0,0,0,0,0,0,0
lfi,prudent,5,31,0,0,0,0,0,0,0
lfi,prudent,6,31,0,0,0,0,0,0,0
lfi,prudent,7,31,0,0,0,0,0,0,0
lfi,prudent,8,31,0,0,0,0,0,0,0
lfi,prudent,9,31,0,0,0,0,0,0,0
lfi,prudent,10,31,0,0,0,0,0,0,0
lfi,prudent,11,31,0,0,0,0,0,0,0
lfi,prudent,12,31,0,0,0,0,0,0,0
lfi,prudent,13,31,0,0,0,0,0,0,0
lfi,prudent,14,31,0,0,0,0,0,0,0
lfi,prudent,15,31,0,0,0,0,0,0,0
lfi,prudent,16,29,0,0,0,0,0,0,0
lfi,prudent,17,31,0,0,0,0,0,0,0
lfi,prudent,18,31,0,0,0,0,0,0,0
lfi,prudent,19,31,0,0,0,0,0,0,0
lfi,prudent,20,31,0,0,0,0,0,0,0
lfi,prudent,21,31,0,0,0,0,0,0,0
lfi,prudent,22,31,0,0,0,0,0,0,0
lfi,prudent,23,31,0,0,0,0,0,0,0
lfi,prudent,24,31,0,0,0,0,0,0,0
lfi,prudent,25,31,0,0,0,0,0,0,0
lfi,prudent,26,31,0,0,0,0,0,0,0
lfi,prudent,27,29,0,0,0,0,0,0,0
lfi,prudent,28,31,0,0,0,0,0,0,0
lfi,prudent,29,31,0,0,0,0,0,0,0
lfi,prudent,30,31,0,0,0,0,0,0,0
lfi,prudent,31,31,0,0,0,0,0,0,0
lfi,prudent,32,31,0,0,0,0,0,0,0
lfi,prudent,33,31,0,0,0,0,0,0,0
lfi,prudent,34,31,0,0,0,0,0,0,0
lfi,prudent,35,29,0,0,0,0,0,0,0
lfi,prudent,36,29,0,0,0,0,0,0,0
lfi,prudent,37,31,0,0,0,0,0,0,0
lfi,prudent,38,31,0,0,0,0,0,0,0
lfi,prudent,39,31,0,0,0,0,0,0,0
lfi,prudent,40,31,0,0,0,0,0,0,0
lfi,prudent,41,31,0,0,0,0,0,0,0
lfi,prudent,42,31,0,0,0,0,0,0,0
lfi,prudent,43,31,0,0,0,0,0,0,0
lfi,prudent,44,31,0,0,0,0,0,0,0
lfi,prudent,45,31,0,0,0,0,0,0,0
lfi,prudent,46,31,0,0,0,0,0,0,0
lfi,prudent,47,31,0,0,0,0,0,0,0
lfi,prudent,48,29,0,0,0,0,0,0,0
lfi,prudent,49,31,0,0,0,0,0,0,0
lfi,prudent,50,31,0,0,0,0,0,0,0
lfi,prudent,51,31,0,0,0,0,0,0,0
lfi,prudent,52,31,0,0,0,0,0,0,0
lfi,prudent,53,31,0,0,0,0,0,0,0
lfi,prudent,54,31,0,0,0,0,0,0,0
lfi,prudent,55,31,0,0,0,0,0,0,0
lfi,prudent,56,31,0,0,0,0,0,0,0
lfi,prudent,57,31,0,0,0,0,0,0,0
lfi,prudent,58,31,0,0,0,0,0,0,0
lfi,prudent,59,31,0,0,0,0,0,0,0
lfi,risque,0,31,0,0,0,0,0,0,0
lfi,risque,1,31,0,0,0,0,0,0,0
lfi,risque,2,25,0,0,0,0,0,0,0
lfi,risque,3,31,0,0,0,0,0,0,0
lfi,risque,4,31,0,0,0,0,0,0,0
lfi,risque,5,31,0,0,0,0,0,0,0
lfi,risque,6,29,0,0,0,0,0,0,0
lfi,risque,7,29,0,0,0,0,0,0,0
lfi,risque,8,31,0,0,0,0,0,0,0
lfi,risque,9,29,0,0,0,0,0,0,0
lfi,risque,10,31,0,0,0,0,0,0,0
lfi,risque,11,31,0,0,0,0,0,0,0
