runKey,partyId,agent,seedIndex,axis,startTrue,endTrue,startPerceived,endPerceived,deltaTrue,deltaPerceived
lfi:aleatoire:18,lfi,aleatoire,18,society,-58,-58,-58,-58,0,0
lfi:aleatoire:18,lfi,aleatoire,18,europe,-48,-46.92550000000001,-48,-44.93,1.0744999999999933,3.0700000000000003
lfi:aleatoire:18,lfi,aleatoire,18,ecology,66,63.69,66,59.4,-2.3100000000000023,-6.600000000000001
lfi:aleatoire:18,lfi,aleatoire,18,authority,-54,-56.205,-54,-60.3,-2.2049999999999983,-6.299999999999997
lfi:aleatoire:18,lfi,aleatoire,18,immigration,-38,-32.995,-38,-23.7,5.005000000000003,14.3
lfi:aleatoire:19,lfi,aleatoire,19,economy,-78,-69.38415499999998,-78,-53.383300000000006,8.615845000000022,24.616699999999994
lfi:aleatoire:19,lfi,aleatoire,19,society,-58,-58,-58,-58,0,0
lfi:aleatoire:19,lfi,aleatoire,19,europe,-48,-49.295,-48,-51.7,-1.2950000000000017,-3.700000000000003
lfi:aleatoire:19,lfi,aleatoire,19,ecology,66,60.288,66,49.68,-5.712000000000003,-16.32
lfi:aleatoire:19,lfi,aleatoire,19,authority,-54,-51.179,-54,-45.94,2.820999999999998,8.060000000000002
lfi:aleatoire:19,lfi,aleatoire,19,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:20,lfi,aleatoire,20,economy,-78,-70.832805,-78,-57.5223,7.167195000000007,20.4777
lfi:aleatoire:20,lfi,aleatoire,20,society,-58,-58,-58,-58,0,0
lfi:aleatoire:20,lfi,aleatoire,20,europe,-48,-41.686,-48,-29.959999999999997,6.314,18.040000000000003
lfi:aleatoire:20,lfi,aleatoire,20,ecology,66,62.136,66,54.96,-3.863999999999997,-11.04
lfi:aleatoire:20,lfi,aleatoire,20,authority,-54,-57.9865,-54,-65.39,-3.9864999999999995,-11.39
lfi:aleatoire:20,lfi,aleatoire,20,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:21,lfi,aleatoire,21,economy,-78,-66.443007,-78,-44.980019999999996,11.556993000000006,33.019980000000004
lfi:aleatoire:21,lfi,aleatoire,21,society,-58,-58,-58,-58,0,0
lfi:aleatoire:21,lfi,aleatoire,21,europe,-48,-47.370000000000005,-48,-46.2,0.6299999999999955,1.7999999999999972
lfi:aleatoire:21,lfi,aleatoire,21,ecology,66,62.29,66,55.4,-3.710000000000001,-10.600000000000001
lfi:aleatoire:21,lfi,aleatoire,21,authority,-54,-56.66,-54,-61.6,-2.6599999999999966,-7.600000000000001
lfi:aleatoire:21,lfi,aleatoire,21,immigration,-38,-37.370000000000005,-38,-36.2,0.6299999999999955,1.7999999999999972
lfi:aleatoire:22,lfi,aleatoire,22,economy,-78,-72.87495,-78,-63.357,5.125050000000002,14.643
lfi:aleatoire:22,lfi,aleatoire,22,society,-58,-58,-58,-58,0,0
lfi:aleatoire:22,lfi,aleatoire,22,europe,-48,-48.035,-48,-48.1,-0.03499999999999659,-0.10000000000000142
lfi:aleatoire:22,lfi,aleatoire,22,ecology,66,60.6135,66,50.61,-5.386499999999998,-15.39
lfi:aleatoire:22,lfi,aleatoire,22,authority,-54,-52.39735,-54,-49.421,1.602649999999997,4.579000000000001
lfi:aleatoire:22,lfi,aleatoire,22,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:23,lfi,aleatoire,23,economy,-78,-72.2705,-78,-61.63,5.729500000000002,16.369999999999997
lfi:aleatoire:23,lfi,aleatoire,23,society,-58,-58,-58,-58,0,0
lfi:aleatoire:23,lfi,aleatoire,23,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:23,lfi,aleatoire,23,ecology,66,62.97600000000001,66,57.36,-3.0239999999999867,-8.64
lfi:aleatoire:23,lfi,aleatoire,23,authority,-54,-49.660000000000004,-54,-41.6,4.339999999999996,12.399999999999999
lfi:aleatoire:23,lfi,aleatoire,23,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:24,lfi,aleatoire,24,economy,-78,-66.74795499999999,-78,-45.8513,11.25204500000001,32.1487
lfi:aleatoire:24,lfi,aleatoire,24,society,-58,-58,-58,-58,0,0
lfi:aleatoire:24,lfi,aleatoire,24,europe,-48,-46.6,-48,-44,1.3999999999999986,4
lfi:aleatoire:24,lfi,aleatoire,24,ecology,66,60.525999999999996,66,50.36,-5.474000000000004,-15.64
lfi:aleatoire:24,lfi,aleatoire,24,authority,-54,-55.4665,-54,-58.19,-1.4665000000000035,-4.189999999999998
lfi:aleatoire:24,lfi,aleatoire,24,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:25,lfi,aleatoire,25,economy,-78,-75.32600000000001,-78,-70.36,2.6739999999999924,7.640000000000001
lfi:aleatoire:25,lfi,aleatoire,25,society,-58,-58.595000000000006,-58,-59.7,-0.595000000000006,-1.7000000000000028
lfi:aleatoire:25,lfi,aleatoire,25,europe,-48,-41.994,-48,-30.840000000000003,6.006,17.159999999999997
lfi:aleatoire:25,lfi,aleatoire,25,ecology,66,66,66,66,0,0
lfi:aleatoire:25,lfi,aleatoire,25,authority,-54,-50.36,-54,-43.6,3.6400000000000006,10.399999999999999
lfi:aleatoire:25,lfi,aleatoire,25,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:26,lfi,aleatoire,26,economy,-78,-74.9655,-78,-69.33,3.034499999999994,8.670000000000002
lfi:aleatoire:26,lfi,aleatoire,26,society,-58,-58.7,-58,-60,-0.7000000000000028,-2
lfi:aleatoire:26,lfi,aleatoire,26,europe,-48,-47.370000000000005,-48,-46.2,0.6299999999999955,1.7999999999999972
lfi:aleatoire:26,lfi,aleatoire,26,ecology,66,60.526,66,50.36,-5.473999999999997,-15.64
lfi:aleatoire:26,lfi,aleatoire,26,authority,-54,-51.76,-54,-47.6,2.240000000000002,6.399999999999999
lfi:aleatoire:26,lfi,aleatoire,26,immigration,-38,-40.345,-38,-44.7,-2.344999999999999,-6.700000000000003
lfi:aleatoire:27,lfi,aleatoire,27,economy,-78,-64.35455699999999,-78,-39.01301999999999,13.645443000000014,38.98698000000001
lfi:aleatoire:27,lfi,aleatoire,27,society,-58,-57.195,-58,-55.7,0.8049999999999997,2.299999999999997
lfi:aleatoire:27,lfi,aleatoire,27,europe,-48,-47.895,-48,-47.7,0.10499999999999687,0.29999999999999716
lfi:aleatoire:27,lfi,aleatoire,27,ecology,66,56.98456,66,40.2416,-9.015439999999998,-25.7584
