eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
party_lfi_local_asset,lfi_local_march,OFFENSIF,85,65.56,0.647,0.482
scandal_local_expenses,local_expenses_internal_warning,PRUDENT,298,80.71,0.789,0.634
program_school_values,school_values_civic_curriculum,INSTITUTIONNEL,450,76.5,0.707,0.558
runoff_common_program,common_program_all,OPPORTUNISTE,1243,84.63,0.973,0.766
world_floods,floods_visit_later,INSTITUTIONNEL,220,76.24,0.664,0.559
scandal_consultant_contract,consultant_contract_honor,LOYAL,181,78.85,0.746,0.58
program_pensions,pensions_age_64,TECHNIQUE,658,81.52,0.787,0.67
media_live_stream,livestream_answer_three,PRUDENT,731,81.69,0.798,0.672
rare_hologram_revolt,hologram_wait,RISQUÉ,58,67.45,0.466,0.397
scandal_campaign_data,campaign_data_notify,TRANSPARENT,296,85.89,0.885,0.774
debate_economy_round,economy_round_walk_numbers,TECHNIQUE,124,86.82,0.879,0.758
campaign_final_rally,final_rally_turnout,POPULAIRE,100,73.15,0.64,0.47
world_national_strike,strike_support_workers,CLIVANT,183,82.37,0.88,0.678
world_heatwave,heatwave_school_plan,INSTITUTIONNEL,64,81.33,0.781,0.656
party_lfi_crisis_followup,lfi_crisis_vote,TRANSPARENT,47,87.94,1,0.872
scandal_donation_route,donation_route_keep,RISQUÉ,371,75.11,0.685,0.571
campaign_overseas_trip,overseas_local_conference,RASSEMBLEUR,51,59.9,0.431,0.275
alliance_poach_rival_cadre,poach_rival_cadre_private_talks,SECRET,240,85.28,0.871,0.767
program_climate_adaptation,climate_water_rules,TECHNIQUE,43,82.14,0.86,0.698
campaign_factory_visit,factory_training_contract,TECHNIQUE,529,82.46,0.807,0.69
scandal_family_hire,family_hire_rebid,TRANSPARENT,415,85.97,0.86,0.769
media_prime_time_invite,prime_time_accept_open,RISQUÉ,670,78.45,0.742,0.594
internal_primary_debt,primary_debt_break,OFFENSIF,637,70.37,0.582,0.468
program_secularism,secularism_extend_ban,CLIVANT,279,67.22,0.52,0.434
program_energy,energy_nuclear_renewables,TECHNIQUE,402,86.57,0.903,0.774
campaign_union_meeting,union_minimum_wage_law,POPULAIRE,108,74.41,0.639,0.519
world_industrial_closure,closure_retraining_contract,INSTITUTIONNEL,64,76.92,0.813,0.641
internal_rival_interview,rival_interview_shared_stage,TRANSPARENT,261,85.66,0.87,0.766
alliance_mayors_appeal,mayors_decline_contract,PRUDENT,327,71.62,0.609,0.489
debate_duel_interruption,duel_interruption_wait,PRÉSIDENTIEL,43,80.65,0.837,0.721
party_lfi_identity,lfi_identity_candidate,PRÉSIDENTIEL,93,69.88,0.731,0.516
runoff_favorite_pressure,favorite_pressure_presidential,PRÉSIDENTIEL,551,90.94,0.998,0.897
government_first_address,first_address_emergency,POPULAIRE,621,89.48,0.981,0.974
program_border_control,border_control_mobile_checks,TECHNIQUE,233,84.19,0.876,0.755
internal_youth_wing,youth_wing_budget,RASSEMBLEUR,364,88.13,0.967,0.871
internal_staff_fatigue,staff_fatigue_hold_course,RISQUÉ,302,70.08,0.576,0.457
media_local_press,local_press_health_contracts,INSTITUTIONNEL,434,86.29,0.876,0.756
campaign_budget_arbitration,budget_cut_consultants,TRANSPARENT,430,77.28,0.721,0.528
