variant,partyId,profile,seedIndex,decisions,finalScore,qualified,won,firstRoundScore,eventIdSetSize,eventIdSetHash,rankVolatility,pollStdev,rareOrChainOrConflictMoments,ideologyMoveTotal,actorMemoryEntries
A_baseline,ps,strategist,1,31,87,true,true,15.1,31,82abfd38,0.161,1.9,4,13.19,3
B1_no_opportunistic_randomness,ps,strategist,1,31,85,true,true,13.6,31,953643de,0.29,1.94,3,4.89,3
B2_no_rare_events,ps,strategist,1,25,64,false,false,12.4,25,5b15c03c,0.36,1.32,0,9.82,1
C_no_narrative_memory,ps,strategist,1,31,87,true,true,15.8,31,dd2dfd2b,0.161,1.88,1,9.18,0
E_no_ideology_effects,ps,strategist,1,29,78,true,false,15.1,29,a9973f36,0.207,1.2,5,0,2
F_no_delayed_consequences,ps,strategist,1,29,85,true,false,17.2,29,79cfb9f1,0.207,2.1,2,7.93,4
A_baseline,ps,strategist,2,31,91,true,true,18.1,31,23ded846,0.129,1.87,1,22.85,1
B1_no_opportunistic_randomness,ps,strategist,2,31,93,true,true,18,31,b683b3,0.097,1.64,2,13.33,1
B2_no_rare_events,ps,strategist,2,31,92,true,true,18.7,31,f745f94f,0.129,1.52,1,5.43,3
C_no_narrative_memory,ps,strategist,2,31,93,true,true,19.4,31,b4f0619d,0.129,2.13,3,12.65,0
E_no_ideology_effects,ps,strategist,2,29,81,true,false,18.2,29,a2b3b364,0.069,2.04,2,0,2
F_no_delayed_consequences,ps,strategist,2,31,92,true,true,17.8,31,206bf692,0.097,2.13,0,12.18,0
A_baseline,ps,strategist,3,31,90,true,true,15.8,31,e20f8072,0.161,1.71,3,13.07,3
B1_no_opportunistic_randomness,ps,strategist,3,31,88,true,true,14.5,31,ec18ff3f,0.194,2.12,3,16.47,2
B2_no_rare_events,ps,strategist,3,31,85,true,true,14.1,31,d12296ab,0.129,1.38,3,13.72,2
C_no_narrative_memory,ps,strategist,3,31,87,true,true,14.7,31,28174c5a,0.355,1.71,5,6.05,0
E_no_ideology_effects,ps,strategist,3,25,62,false,false,13.6,25,88a797bb,0.24,1.19,1,0,3
F_no_delayed_consequences,ps,strategist,3,31,90,true,true,16,31,1fd04c0d,0.194,1.75,4,2.97,3
A_baseline,ps,strategist,4,31,91,true,true,16.8,31,9e0ff028,0.29,2.16,3,16.56,3
B1_no_opportunistic_randomness,ps,strategist,4,29,86,true,false,18.4,29,68dae67e,0.276,2.28,1,11.37,0
B2_no_rare_events,ps,strategist,4,29,83,true,false,16,29,69121a71,0.172,1.96,0,15.16,0
C_no_narrative_memory,ps,strategist,4,31,84,true,true,14.3,31,e2b99eaf,0.355,1.47,1,19.1,0
E_no_ideology_effects,ps,strategist,4,31,83,true,true,14.7,31,f829291d,0.387,1.04,3,0,3
F_no_delayed_consequences,ps,strategist,4,29,80,true,false,15.5,29,e27f7fe4,0.276,1.43,4,9.48,3
A_baseline,ps,strategist,5,31,88,true,true,16.5,31,f15c3381,0.161,1.19,1,15.69,1
B1_no_opportunistic_randomness,ps,strategist,5,31,90,true,true,16.2,31,b58c9ece,0.29,1.29,2,15.63,4
B2_no_rare_events,ps,strategist,5,31,86,true,true,15.2,31,4f29d9e3,0.29,1.2,1,16.49,1
C_no_narrative_memory,ps,strategist,5,31,91,true,true,17.3,31,b1b7daaa,0.129,2.28,3,15.13,0
E_no_ideology_effects,ps,strategist,5,31,87,true,true,17.6,31,1a76a4ac,0.161,1.28,0,0,0
F_no_delayed_consequences,ps,strategist,5,31,95,true,true,21.3,31,6bb4997f,0.194,2.01,6,5.36,6
A_baseline,ps,strategist,6,31,91,true,true,17.7,31,2283c30b,0.258,1.24,3,3.52,4
B1_no_opportunistic_randomness,ps,strategist,6,31,93,true,true,18,31,6aafca54,0.258,2.12,4,6.74,2
B2_no_rare_events,ps,strategist,6,31,86,true,true,13.6,31,6d8ac531,0.129,0.99,3,20.04,3
C_no_narrative_memory,ps,strategist,6,31,87,true,true,15.1,31,5478fb00,0.29,1.47,2,4.33,0
E_no_ideology_effects,ps,strategist,6,31,86,true,true,17.3,31,9e11d15d,0.226,1.55,1,0,2
F_no_delayed_consequences,ps,strategist,6,31,87,true,true,14.6,31,ff3cfe5d,0.29,1.86,2,9.12,0
A_baseline,ps,strategist,7,31,92,true,true,18.3,31,ca39a3c2,0.129,2.41,5,13.87,3
B1_no_opportunistic_randomness,ps,strategist,7,31,94,true,true,18,31,4539610b,0.194,1.79,2,6.81,1
B2_no_rare_events,ps,strategist,7,29,78,true,false,13.6,29,5b75127f,0.069,1.39,2,8.19,3
C_no_narrative_memory,ps,strategist,7,31,84,true,true,14.3,31,245fc10b,0.194,0.95,0,10.15,0
E_no_ideology_effects,ps,strategist,7,31,88,true,true,20.4,31,be313df8,0.194,1.77,0,0,4
F_no_delayed_consequences,ps,strategist,7,31,90,true,true,17,31,34bb6d30,0.226,2.2,4,9.12,3
A_baseline,ps,cautious,0,31,92,true,true,17.1,31,37aa6013,0.194,2.07,4,7.24,3
B1_no_opportunistic_randomness,ps,cautious,0,31,88,true,true,15.9,31,6773eefc,0.161,1.43,0,13.55,0
B2_no_rare_events,ps,cautious,0,31,91,true,true,16.2,31,568a0169,0.065,2.08,0,7.36,0
C_no_narrative_memory,ps,cautious,0,31,93,true,true,18.1,31,179696a4,0.129,1.99,5,14.05,0
E_no_ideology_effects,ps,cautious,0,31,86,true,true,16.2,31,25238897,0.355,1.55,3,0,2
