runKey,decisionIndex,playerPolling,playerRank
lfi:prudent:1,4,13.2,1
lfi:prudent:1,5,12.925,2
lfi:prudent:1,6,12.969,2
lfi:prudent:1,7,13.191,1
lfi:prudent:1,8,14.1,1
lfi:prudent:1,9,13.485,1
lfi:prudent:1,10,13.682,1
lfi:prudent:1,11,13.818,1
lfi:prudent:1,12,11.3,4
lfi:prudent:1,13,14.146,1
lfi:prudent:1,14,14.406,1
lfi:prudent:1,15,14.654,1
lfi:prudent:1,16,12.2,2
lfi:prudent:1,17,15.079,1
lfi:prudent:1,18,15.368,1
lfi:prudent:1,19,15.642,1
lfi:prudent:1,20,12.5,2
lfi:prudent:1,21,15.988,1
lfi:prudent:1,22,16.133,1
lfi:prudent:1,23,16.246,1
lfi:prudent:1,24,16.313,1
lfi:prudent:1,25,16.375,1
lfi:prudent:1,26,16.479,1
lfi:prudent:1,27,16.574,1
lfi:prudent:1,28,14.2,1
lfi:prudent:1,29,16.6,1
lfi:prudent:1,30,16.317,1
lfi:prudent:1,31,16.277,1
lfi:prudent:2,1,11.821,3
lfi:prudent:2,2,12.024,3
lfi:prudent:2,3,11.979,3
lfi:prudent:2,4,12.2,3
lfi:prudent:2,5,12.484,2
lfi:prudent:2,6,12.678,2
lfi:prudent:2,7,12.774,1
lfi:prudent:2,8,12.6,2
lfi:prudent:2,9,13.45,1
lfi:prudent:2,10,13.533,1
lfi:prudent:2,11,13.589,1
lfi:prudent:2,12,10.1,7
lfi:prudent:2,13,14.185,1
lfi:prudent:2,14,14.301,1
lfi:prudent:2,15,14.408,1
lfi:prudent:2,16,14.4,1
lfi:prudent:2,17,14.784,1
lfi:prudent:2,18,15.016,1
lfi:prudent:2,19,15.229,1
lfi:prudent:2,20,13.6,1
lfi:prudent:2,21,15.487,1
lfi:prudent:2,22,15.613,1
lfi:prudent:2,23,15.142,1
lfi:prudent:2,24,14.88,1
lfi:prudent:2,25,14.908,1
lfi:prudent:2,26,15.044,1
lfi:prudent:2,27,15.147,1
lfi:prudent:2,28,14,1
lfi:prudent:2,29,15.533,1
lfi:prudent:3,1,11.724,4
lfi:prudent:3,2,11.829,3
lfi:prudent:3,3,11.994,3
lfi:prudent:3,4,11.7,4
lfi:prudent:3,5,12.003,3
lfi:prudent:3,6,12.265,3
lfi:prudent:3,7,12.585,2
lfi:prudent:3,8,10.3,7
lfi:prudent:3,9,12.371,2
lfi:prudent:3,10,12.397,2
lfi:prudent:3,11,12.611,2
lfi:prudent:3,12,12.2,2
lfi:prudent:3,13,12.886,1
lfi:prudent:3,14,13.077,1
lfi:prudent:3,15,13.231,1
lfi:prudent:3,16,14.1,1
lfi:prudent:3,17,13.778,1
lfi:prudent:3,18,14.329,1
lfi:prudent:3,19,14.759,1
lfi:prudent:3,20,12.3,2
lfi:prudent:3,21,15.24,1
lfi:prudent:3,22,15.235,1
lfi:prudent:3,23,15.279,1
lfi:prudent:3,24,15.276,1
lfi:prudent:3,25,15.393,1
lfi:prudent:3,26,15.639,1
lfi:prudent:3,27,15.736,1
lfi:prudent:3,28,20.3,1
lfi:prudent:3,29,15.924,1
lfi:risque:1,1,12.028,3
lfi:risque:1,2,12.347,3
lfi:risque:1,3,12.648,2
lfi:risque:1,4,13.4,1
lfi:risque:1,5,13.375,1
lfi:risque:1,6,13.623,1
lfi:risque:1,7,13.907,1
lfi:risque:1,8,14.6,1
lfi:risque:1,9,14.374,1
lfi:risque:1,10,14.54,1
lfi:risque:1,11,14.726,1
lfi:risque:1,12,12.1,3
lfi:risque:1,13,15.032,1
lfi:risque:1,14,14.896,1
lfi:risque:1,15,15.045,1
lfi:risque:1,16,12.6,1
lfi:risque:1,17,15.175,1
lfi:risque:1,18,15.413,1
lfi:risque:1,19,15.464,1
lfi:risque:1,20,12.3,3
lfi:risque:1,21,15.542,1
lfi:risque:1,22,15.714,1
lfi:risque:1,23,15.874,1
lfi:risque:1,24,15.753,1
lfi:risque:1,25,15.772,1
lfi:risque:1,26,15.896,1
lfi:risque:1,27,15.795,1
lfi:risque:1,28,13.6,1
lfi:risque:1,29,15.786,1
lfi:risque:1,30,15.651,1
lfi:risque:1,31,15.803,1
lfi:risque:2,1,11.821,3
lfi:risque:2,2,11.935,3
lfi:risque:2,3,12.036,3
lfi:risque:2,4,12.3,2
lfi:risque:2,5,12.605,2
lfi:risque:2,6,12.813,1
lfi:risque:2,7,12.784,1
lfi:risque:2,8,12.6,2
lfi:risque:2,9,13.331,1
lfi:risque:2,10,13.313,1
lfi:risque:2,11,13.418,1
lfi:risque:2,12,9.9,8
lfi:risque:2,13,13.421,1
lfi:risque:2,14,13.42,1
lfi:risque:2,15,13.404,1
lfi:risque:2,16,13.2,1
lfi:risque:2,17,13.328,1
lfi:risque:2,18,13.734,1
lfi:risque:2,19,13.985,1
lfi:risque:2,20,13.7,1
lfi:risque:2,21,14.377,1
lfi:risque:2,22,14.594,1
lfi:risque:2,23,14.769,1
lfi:risque:2,24,15.089,1
lfi:risque:2,25,15.09,1
ps:contrarien:1063,1,11.483,5
ps:contrarien:1063,2,11.705,4
ps:contrarien:1063,3,11.878,4
ps:contrarien:1063,4,15,1
ps:contrarien:1063,5,12.039,3
ps:contrarien:1063,6,11.259,6
ps:contrarien:1063,7,10.849,7
ps:contrarien:1063,8,12.7,3
ps:contrarien:1063,9,11.193,6
ps:contrarien:1063,10,11.215,6
ps:contrarien:1063,11,11.132,6
ps:contrarien:1063,12,11.1,6
ps:contrarien:1063,13,10.844,7
ps:contrarien:1063,14,10.205,8
ps:contrarien:1063,15,10.124,8
ps:contrarien:1063,16,7.6,8
ps:contrarien:1063,17,10.025,8
ps:contrarien:1063,18,9.975,8
ps:contrarien:1063,19,9.975,8
ps:contrarien:1063,20,11.8,4
ps:contrarien:1063,21,10.14,8
ps:contrarien:1063,22,9.433,8
ps:contrarien:1063,23,9.059,8
ps:contrarien:1063,24,8.783,8
ps:contrarien:1063,25,8.949,8
ps:ideologiquement_coherent:2,1,12.688,2
ps:ideologiquement_coherent:2,2,12.901,1
ps:ideologiquement_coherent:2,3,13.061,1
ps:ideologiquement_coherent:2,4,14,1
ps:ideologiquement_coherent:2,5,13.287,1
ps:ideologiquement_coherent:2,6,13.465,1
ps:ideologiquement_coherent:2,7,13.653,1
ps:ideologiquement_coherent:2,8,16.3,1
ps:ideologiquement_coherent:2,9,14.04,1
ps:ideologiquement_coherent:2,10,14.109,1
ps:ideologiquement_coherent:2,11,14.123,1
ps:ideologiquement_coherent:2,12,11.4,4
ps:ideologiquement_coherent:2,13,14.84,1
ps:ideologiquement_coherent:2,14,15.057,1
ps:ideologiquement_coherent:2,15,15.177,1
ps:ideologiquement_coherent:2,16,13,1
ps:ideologiquement_coherent:2,17,15.739,1
ps:ideologiquement_coherent:2,18,16.406,1
ps:ideologiquement_coherent:2,19,16.698,1
ps:ideologiquement_coherent:2,20,17,1
ps:ideologiquement_coherent:2,21,17.171,1
ps:ideologiquement_coherent:2,22,17.202,1
ps:ideologiquement_coherent:2,23,17.297,1
ps:ideologiquement_coherent:2,24,17.403,1
ps:ideologiquement_coherent:2,25,17.525,1
ps:ideologiquement_coherent:2,26,17.551,1
ps:ideologiquement_coherent:2,27,17.583,1
ps:ideologiquement_coherent:2,28,16.6,1
ps:ideologiquement_coherent:2,29,17.882,1
ps:opportuniste_electoral:0,1,11.626,4
ps:opportuniste_electoral:0,2,11.828,4
ps:opportuniste_electoral:0,3,12.468,2
ps:opportuniste_electoral:0,4,8,8
ps:opportuniste_electoral:0,5,12.922,2
ps:opportuniste_electoral:0,6,13.036,1
ps:opportuniste_electoral:0,7,13.122,1
ps:opportuniste_electoral:0,8,10.6,7
ps:opportuniste_electoral:0,9,12.757,2
ps:opportuniste_electoral:0,10,12.741,2
ps:opportuniste_electoral:0,11,12.747,2
ps:opportuniste_electoral:0,12,9.8,8
ps:opportuniste_electoral:0,13,12.888,2
ps:opportuniste_electoral:0,14,13.211,1
ps:opportuniste_electoral:0,15,13.419,1
ps:opportuniste_electoral:0,16,15.9,1
ps:opportuniste_electoral:0,17,13.979,1
ps:opportuniste_electoral:0,18,14.11,1
ps:opportuniste_electoral:0,19,14.391,1
ps:opportuniste_electoral:0,20,12.4,2
ps:opportuniste_electoral:0,21,14.193,1
ps:opportuniste_electoral:0,22,14.01,1
ps:opportuniste_electoral:0,23,13.856,1
ps:opportuniste_electoral:0,24,13.922,1
ps:opportuniste_electoral:0,25,14.035,1
ps:opportuniste_electoral:0,26,14.301,1
ps:opportuniste_electoral:0,27,14.384,1
ps:opportuniste_electoral:0,28,12.9,2
ps:opportuniste_electoral:0,29,14.876,1
ps:opportuniste_electoral:0,30,14.799,1
ps:opportuniste_electoral:0,31,14.842,1
