margin_d0,margin_d0.25,margin_d0.4,margin_d0.5,margin_d0.62,margin_d0.75,margin_d1,runKey,agent,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,r1Margin,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,favoriteAtR1,favoriteWonR2,playerIsFinalist,playerWon,turnout,detLeftAt62,detRightAt62,detMarginAt62,detMarginAt100,detMarginAt0,retainedShareLeft,retainedShareRight,transferredShareLeft,transferredShareRight,dampingContributionToMargin
7.06,11.48,14.14,15.9,18.02,20.32,24.72,nouvelle_energie:risque:55,risque,nouvelle_energie,rn,19.4,13.7,5.7,54.8,45.2,9.6,nouvelle_energie,nouvelle_energie,true,true,true,71.3,59.01,40.99,18.02,24.72,7.06,58.8,41.2,26,17.94,6.7
8.84,12.34,14.46,15.86,17.54,19.36,22.86,nouvelle_energie:risque:56,risque,nouvelle_energie,rn,20.7,13.6,7.1,57.2,42.8,14.4,nouvelle_energie,nouvelle_energie,true,true,true,71.4,58.77,41.23,17.54,22.86,8.84,60.5,39.5,24.45,18.06,5.32
13.44,16.78,18.78,20.12,21.72,23.46,26.8,nouvelle_energie:risque:57,risque,nouvelle_energie,rn,26.6,15.3,11.3,61.5,38.5,23,nouvelle_energie,nouvelle_energie,true,true,true,71.5,60.86,39.14,21.72,26.8,13.44,63.5,36.5,22.06,15.82,5.08
8.08,11.3,13.22,14.5,16.04,17.72,20.94,nouvelle_energie:risque:58,risque,nouvelle_energie,lfi,21.4,14.1,7.3,57.8,42.2,15.6,nouvelle_energie,nouvelle_energie,true,true,true,72,58.02,41.98,16.04,20.94,8.08,59.9,40.1,26.31,20.07,4.9
6.88,8.72,9.82,10.54,11.42,12.38,14.22,nouvelle_energie:risque:59,risque,nouvelle_energie,renaissance,19.9,14.4,5.5,55.4,44.6,10.8,nouvelle_energie,nouvelle_energie,true,true,true,71.2,55.71,44.29,11.42,14.22,6.88,58.4,41.6,23.9,20.5,2.8
9.02,13.7,16.5,18.36,20.62,23.04,27.72,nouvelle_energie:risque:60,risque,nouvelle_energie,rn,20.6,13.5,7.1,60,40,20,nouvelle_energie,nouvelle_energie,true,true,true,71.3,60.31,39.69,20.62,27.72,9.02,60.7,39.3,25.52,17.02,7.1
0.44,3.86,6.44,8.16,10.22,12.46,16.76,nouvelle_energie:risque:61,risque,rn,nouvelle_energie,15.6,15,0.6,49.3,50.7,1.4,nouvelle_energie,rn,false,true,true,71.1,44.89,55.11,10.22,16.76,0.44,50.6,49.4,18.51,26.21,6.54
16.12,19.48,21.5,22.86,24.46,26.22,29.58,nouvelle_energie:risque:62,risque,nouvelle_energie,rn,25.6,13.1,12.5,58.1,41.9,16.2,nouvelle_energie,nouvelle_energie,true,true,true,71.5,62.23,37.77,24.46,29.58,16.12,66.7,33.3,21.89,15.81,5.12
8.18,10.74,12.26,13.3,14.52,15.84,18.4,nouvelle_energie:risque:63,risque,nouvelle_energie,ps,20.6,13.5,7.1,59.2,40.8,18.4,nouvelle_energie,nouvelle_energie,true,true,true,71.5,57.26,42.74,14.52,18.4,8.18,60.5,39.5,26.12,21.2,3.88
12.86,14.82,16,16.78,17.74,18.76,20.72,nouvelle_energie:risque:64,risque,nouvelle_energie,renaissance,23.6,13.1,10.5,56.1,43.9,12.2,nouvelle_energie,nouvelle_energie,true,true,true,71.5,58.87,41.13,17.74,20.72,12.86,64.8,35.2,23.36,19.65,2.98
8.76,12.12,14.14,15.48,17.1,18.86,22.22,nouvelle_energie:risque:65,risque,nouvelle_energie,rn,20.6,14,6.6,61.3,38.7,22.6,nouvelle_energie,nouvelle_energie,true,true,true,71.2,58.55,41.45,17.1,22.22,8.76,60,40,23.06,17.1,5.12
7.1,9.08,10.26,11.06,12,13.02,15,nouvelle_energie:risque:66,risque,nouvelle_energie,ps,18.7,13.1,5.6,55.2,44.8,10.4,nouvelle_energie,nouvelle_energie,true,true,true,71.9,56,44,12,15,7.1,59.6,40.4,26.43,22.63,3
0.8,2.12,2.92,3.46,4.1,4.78,6.12,nouvelle_energie:risque:67,risque,nouvelle_energie,horizons,19.2,18.8,0.4,48.7,51.3,2.6,horizons,nouvelle_energie,false,true,false,71.2,52.05,47.95,4.1,6.12,0.8,50.9,49.1,21.98,19.49,2.02
5.64,10.72,13.76,15.8,18.24,20.88,25.96,nouvelle_energie:risque:68,risque,nouvelle_energie,rn,17.9,13.4,4.5,55.4,44.6,10.8,nouvelle_energie,nouvelle_energie,true,true,true,71.2,59.12,40.88,18.24,25.96,5.64,57.3,42.7,26.94,17.77,7.72
6.74,8.78,10,10.82,11.78,12.84,14.88,nouvelle_energie:risque:69,risque,nouvelle_energie,lr,18.7,13.7,5,55.7,44.3,11.4,nouvelle_energie,nouvelle_energie,true,true,true,70.9,55.89,44.11,11.78,14.88,6.74,58.2,41.8,22.68,19.09,3.1
1.18,4,5.7,6.84,8.2,9.66,12.5,nouvelle_energie:risque:70,risque,nouvelle_energie,ps,18.9,18.3,0.6,54.8,45.2,9.6,nouvelle_energie,nouvelle_energie,true,true,true,71.8,54.1,45.9,8.2,12.5,1.18,51.4,48.6,25.07,19.6,4.3
17.34,17.88,18.2,18.42,18.68,18.96,19.5,nouvelle_energie:risque:72,risque,nouvelle_energie,horizons,27.5,13.3,14.2,56.7,43.3,13.4,nouvelle_energie,nouvelle_energie,true,true,true,71.5,59.34,40.66,18.68,19.5,17.34,67.9,32.1,20.03,19.02,0.82
2.62,3.98,4.8,5.34,6,6.7,8.08,nouvelle_energie:risque:73,risque,nouvelle_energie,ps,16.7,14.6,2.1,51.1,48.9,2.2,nouvelle_energie,nouvelle_energie,true,true,true,71.2,53,47,6,8.08,2.62,53.5,46.5,24.84,22.3,2.08
8.06,12.64,15.4,17.22,19.44,21.82,26.4,nouvelle_energie:risque:74,risque,nouvelle_energie,rn,21.3,14.8,6.5,55.7,44.3,11.4,nouvelle_energie,nouvelle_energie,true,true,true,71.3,59.72,40.28,19.44,26.4,8.06,59.1,40.9,24.63,16.29,6.96
