finalistLeft,finalistRight,r1Margin,r2Margin,r2ScoreLeft,r2ScoreRight,favoriteAtR1,favoriteWonR2
ps,nouvelle_energie,10.9,1.4,50.7,49.3,ps,true
ps,nouvelle_energie,12.8,1.4,50.7,49.3,ps,true
ps,renaissance,8.9,0.6,50.3,49.7,ps,true
ps,horizons,5.3,1.2,49.4,50.6,ps,false
ps,horizons,4.2,1.4,50.7,49.3,ps,true
ps,horizons,12.6,1.8,50.9,49.1,ps,true
ps,nouvelle_energie,11.3,1.8,50.9,49.1,ps,true
ps,rn,3,1,49.5,50.5,ps,false
ps,horizons,8.2,0.4,49.8,50.2,ps,false
ps,lr,10.8,1.8,50.9,49.1,ps,true
ps,nouvelle_energie,12.2,1.4,49.3,50.7,ps,false
ps,nouvelle_energie,2.9,0.2,49.9,50.1,ps,false
ps,nouvelle_energie,4.7,1.8,49.1,50.9,ps,false
rn,ps,1,0.4,49.8,50.2,rn,false
ps,horizons,9.7,1.2,49.4,50.6,ps,false
ps,nouvelle_energie,10.3,1.8,50.9,49.1,ps,true
ps,nouvelle_energie,8.8,1.4,50.7,49.3,ps,true
ps,rn,0.1,1.8,50.9,49.1,ps,true
ps,rn,3.8,1.8,50.9,49.1,ps,true
rn,ps,1.6,0.4,50.2,49.8,rn,true
rn,ps,0.4,0.2,49.9,50.1,rn,false
ps,horizons,3.8,0.2,50.1,49.9,ps,true
ps,horizons,1.9,0.6,49.7,50.3,ps,false
ps,horizons,5.5,0.6,50.3,49.7,ps,true
ps,horizons,5,0,50,50,ps,true
ps,renaissance,4,1.6,49.2,50.8,ps,false
ps,horizons,5,0.6,49.7,50.3,ps,false
ps,horizons,7.8,0.8,49.6,50.4,ps,false
ps,horizons,5.6,1.6,49.2,50.8,ps,false
ps,horizons,5.8,1.4,49.3,50.7,ps,false
ps,renaissance,5.8,0.8,49.6,50.4,ps,false
ps,renaissance,9,1.4,49.3,50.7,ps,false
ps,nouvelle_energie,3.4,0,50,50,ps,true
ps,renaissance,11.1,0.6,50.3,49.7,ps,true
ps,renaissance,1.8,1.2,50.6,49.4,ps,true
ps,horizons,8.9,1.6,49.2,50.8,ps,false
ps,lfi,8.6,1.6,50.8,49.2,ps,true
ps,horizons,7.4,1.6,50.8,49.2,ps,true
ps,nouvelle_energie,0.6,1.2,49.4,50.6,ps,false
ps,rn,5.3,1.2,50.6,49.4,ps,true
ps,nouvelle_energie,3.5,1.4,50.7,49.3,ps,true
ps,horizons,6.2,1.2,49.4,50.6,ps,false
ps,horizons,7.6,0,50,50,ps,true
ps,rn,6,1.6,50.8,49.2,ps,true
ps,nouvelle_energie,7.8,1.2,50.6,49.4,ps,true
ps,horizons,9.5,0.4,50.2,49.8,ps,true
ps,nouvelle_energie,7.5,0.2,49.9,50.1,ps,false
ps,nouvelle_energie,6.6,1.4,49.3,50.7,ps,false
ps,nouvelle_energie,7.2,0.4,50.2,49.8,ps,true
ps,horizons,0.4,1,50.5,49.5,ps,true
ps,horizons,11.1,1.4,49.3,50.7,ps,false
ps,rn,2.5,1.4,50.7,49.3,ps,true
ps,horizons,2.1,1,49.5,50.5,ps,false
ps,horizons,8.7,0,50,50,ps,true
ps,horizons,12.3,0.6,50.3,49.7,ps,true
ps,nouvelle_energie,8.3,1.4,49.3,50.7,ps,false
ps,renaissance,10.2,0.6,50.3,49.7,ps,true
ps,lr,12.2,0,50,50,ps,true
ps,horizons,5.2,1.4,49.3,50.7,ps,false
ps,horizons,8.1,0.2,49.9,50.1,ps,false
rn,ps,0.3,0.2,49.9,50.1,rn,false
ps,rn,6.9,1.6,49.2,50.8,ps,false
ps,rn,1.5,0.2,50.1,49.9,ps,true
ps,lr,2.7,0.2,50.1,49.9,ps,true
ps,rn,2.4,1,50.5,49.5,ps,true
ps,lfi,7.7,0.6,49.7,50.3,ps,false
ps,nouvelle_energie,4.5,0.2,49.9,50.1,ps,false
ps,nouvelle_energie,2.4,0.8,49.6,50.4,ps,false
ps,nouvelle_energie,2.6,1.4,49.3,50.7,ps,false
ps,rn,4.8,1,49.5,50.5,ps,false
ps,rn,3.9,1,50.5,49.5,ps,true
ps,horizons,2.8,1.6,49.2,50.8,ps,false
ps,nouvelle_energie,6.9,0.8,50.4,49.6,ps,true
ps,nouvelle_energie,3.8,0,50,50,ps,true
ps,rn,0.1,1.6,50.8,49.2,ps,true
ps,renaissance,10.8,0.2,50.1,49.9,ps,true
ps,rn,3,1,50.5,49.5,ps,true
ps,nouvelle_energie,3.2,1,49.5,50.5,ps,false
ps,horizons,8.8,1,49.5,50.5,ps,false
ps,lfi,5.9,1.8,49.1,50.9,ps,false
ps,nouvelle_energie,10.3,1.4,50.7,49.3,ps,true
ps,lfi,0.1,1.4,49.3,50.7,ps,false
nouvelle_energie,ps,0.4,0.2,49.9,50.1,nouvelle_energie,false
ps,horizons,9,0.4,49.8,50.2,ps,false
ps,horizons,7.5,1,49.5,50.5,ps,false
ps,nouvelle_energie,8.2,0.8,49.6,50.4,ps,false
ps,nouvelle_energie,5.1,0.2,49.9,50.1,ps,false
ps,rn,3.5,0.4,49.8,50.2,ps,false
ps,horizons,3.9,0.4,50.2,49.8,ps,true
ps,horizons,8.8,1.8,50.9,49.1,ps,true
ps,rn,1.7,1.4,49.3,50.7,ps,false
ps,nouvelle_energie,9.3,0.2,50.1,49.9,ps,true
ps,rn,0.6,1.2,49.4,50.6,ps,false
ps,horizons,5.5,0.6,50.3,49.7,ps,true
ps,nouvelle_energie,8.6,0.2,50.1,49.9,ps,true
ps,lr,3.1,1,50.5,49.5,ps,true
rn,ps,1.3,1.8,49.1,50.9,rn,false
ps,nouvelle_energie,6.8,0.2,49.9,50.1,ps,false
ps,rn,3.1,0.8,49.6,50.4,ps,false
ps,rn,3.5,1.2,49.4,50.6,ps,false
ps,nouvelle_energie,3,1.4,50.7,49.3,ps,true
ps,horizons,3,1.6,49.2,50.8,ps,false
ps,horizons,2.1,1,49.5,50.5,ps,false
nouvelle_energie,ps,0.3,1.6,49.2,50.8,nouvelle_energie,false
horizons,ps,0.8,0.2,49.9,50.1,horizons,false
ps,nouvelle_energie,0.5,0.4,50.2,49.8,ps,true
ps,ecologistes,9.1,0,50,50,ps,true
ps,horizons,1,1.8,49.1,50.9,ps,false
ps,horizons,0.2,1.4,49.3,50.7,ps,false
ecologistes,rn,2.4,1,49.5,50.5,ecologistes,false
ps,ecologistes,0.9,0.2,49.9,50.1,ps,false
ecologistes,ps,4.4,0.2,50.1,49.9,ecologistes,true
ecologistes,ps,2.4,1.2,49.4,50.6,ecologistes,false
ecologistes,nouvelle_energie,1.2,0.6,49.7,50.3,ecologistes,false
ecologistes,renaissance,6.1,0.2,49.9,50.1,ecologistes,false
ecologistes,nouvelle_energie,6.7,1.6,49.2,50.8,ecologistes,false
ecologistes,rn,4.1,1.8,50.9,49.1,ecologistes,true
ecologistes,ps,5.3,1.6,49.2,50.8,ecologistes,false
rn,ecologistes,3.4,1.8,50.9,49.1,rn,true
ecologistes,nouvelle_energie,3,1,49.5,50.5,ecologistes,false
ecologistes,ps,2.5,1.2,49.4,50.6,ecologistes,false
ecologistes,nouvelle_energie,2.1,0.4,50.2,49.8,ecologistes,true
ecologistes,nouvelle_energie,3.9,0.2,49.9,50.1,ecologistes,false
ecologistes,horizons,2.3,0.8,50.4,49.6,ecologistes,true
ecologistes,ps,3.1,1.8,49.1,50.9,ecologistes,false
ecologistes,ps,0,1,49.5,50.5,ecologistes,false
ecologistes,rn,0.6,0.4,49.8,50.2,ecologistes,false
ecologistes,renaissance,6.4,1.8,49.1,50.9,ecologistes,false
ecologistes,rn,1.2,1.8,50.9,49.1,ecologistes,true
ecologistes,rn,1.6,0.6,50.3,49.7,ecologistes,true
ecologistes,rn,3.8,0,50,50,ecologistes,true
ecologistes,ps,2.5,1.2,50.6,49.4,ecologistes,true
ecologistes,ps,8.6,1.8,50.9,49.1,ecologistes,true
ecologistes,horizons,2.8,1,49.5,50.5,ecologistes,false
ecologistes,ps,3,0.8,49.6,50.4,ecologistes,false
horizons,ecologistes,0.3,0.4,49.8,50.2,horizons,false
ecologistes,nouvelle_energie,6.5,0.2,50.1,49.9,ecologistes,true
ecologistes,ps,5.3,1.4,49.3,50.7,ecologistes,false
ecologistes,ps,7.5,0,50,50,ecologistes,true
ecologistes,horizons,0.6,0.4,50.2,49.8,ecologistes,true
ecologistes,lr,5.8,1,49.5,50.5,ecologistes,false
ecologistes,rn,4.6,0.2,50.1,49.9,ecologistes,true
ecologistes,horizons,7.3,1.2,49.4,50.6,ecologistes,false
ecologistes,horizons,5.4,0.8,49.6,50.4,ecologistes,false
ecologistes,ps,4.5,1.6,49.2,50.8,ecologistes,false
ecologistes,ps,2.1,0,50,50,ecologistes,true
ecologistes,renaissance,3.1,1,49.5,50.5,ecologistes,false
rn,ecologistes,0.7,1.2,49.4,50.6,rn,false
ecologistes,rn,2.8,1.4,50.7,49.3,ecologistes,true
ecologistes,nouvelle_energie,6.8,0.4,50.2,49.8,ecologistes,true
ecologistes,ps,7.1,0.4,49.8,50.2,ecologistes,false
ecologistes,ps,1.5,1.8,49.1,50.9,ecologistes,false
ecologistes,ps,5.9,0.8,50.4,49.6,ecologistes,true
ecologistes,rn,3.2,0.6,50.3,49.7,ecologistes,true
ecologistes,rn,2,1.4,50.7,49.3,ecologistes,true
