seed,trajectory,valid,firstRoundScore,firstRoundRank,qualified,secondRoundOpponent,won,finalScore,transferability,alliedWithCount,alliedWith,bestRelation,worstRelation,narrativeThreadCount,trajectoryEventsSeen
horizons-cf-53,coalition,true,15.6,1,true,ps,false,85,64,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-54,continuity,true,14.4,1,true,rn,true,86,60,1,"lr",100,-14.294677070390826,2,1
horizons-cf-54,rupture,true,14.1,1,true,rn,true,84,56,0,"",100,-14.294677070390826,2,1
horizons-cf-54,coalition,true,13.2,2,true,rn,true,87,66,2,"lr|renaissance",100,-18.294677070390826,2,1
horizons-cf-55,continuity,true,12.2,4,false,ps,false,62,36,0,"",100,-14.294677070390826,2,0
horizons-cf-55,rupture,true,12.1,4,false,ps,false,62,36,0,"",100,-14.294677070390826,2,0
horizons-cf-55,coalition,true,12.7,3,false,ps,false,64,39,0,"",100,-14.294677070390826,1,0
horizons-cf-56,continuity,true,16.3,1,true,nouvelle_energie,true,92,56,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-56,rupture,true,16.3,1,true,nouvelle_energie,true,92,56,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-56,coalition,true,16.3,1,true,nouvelle_energie,true,92,56,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-57,continuity,true,15.6,1,true,ecologistes,true,90,67,2,"lr|renaissance",100,-17.634681351726023,1,0
horizons-cf-57,rupture,true,15.6,1,true,ecologistes,true,90,67,2,"lr|renaissance",100,-17.634681351726023,1,0
horizons-cf-57,coalition,true,15.6,1,true,ecologistes,true,90,67,2,"lr|renaissance",100,-17.634681351726023,1,0
horizons-cf-58,continuity,true,15.5,2,true,rn,true,85,63,3,"lr|nouvelle_energie|renaissance",100,-14.294677070390826,2,0
horizons-cf-58,rupture,true,15.5,2,true,rn,true,85,63,3,"lr|nouvelle_energie|renaissance",100,-14.294677070390826,2,0
horizons-cf-58,coalition,true,15.5,2,true,rn,true,85,63,3,"lr|nouvelle_energie|renaissance",100,-14.294677070390826,2,0
horizons-cf-59,continuity,true,18.1,1,true,rn,true,94,64,1,"lr",100,-14.294677070390826,2,1
horizons-cf-59,rupture,true,17.9,1,true,rn,true,93,60,0,"",100,-14.294677070390826,2,1
horizons-cf-59,coalition,true,18.5,1,true,nouvelle_energie,true,94,55,2,"lr|renaissance",100,-14.294677070390826,4,1
