pairKey,playerPartyId,agent,withdrawnPartyId,withdrawnPartyPollingAtFork,maintainR1Leader,withdrawR1Leader,leaderChanged,maintainQualified,withdrawQualified,qualifiedSetChanged,maintainPlayerR1Score,withdrawPlayerR1Score,playerScoreDelta,maintainPlayerWon,withdrawPlayerWon,playerOutcomeChanged
lfi:ideologiquement_coherent:460,lfi,ideologiquement_coherent,ecologistes,8.86,lfi,lfi,false,"[""lfi"",""horizons""]","[""lfi"",""horizons""]",false,24.4,25.8,1.4,true,true,false
ps:ideologiquement_coherent:461,ps,ideologiquement_coherent,reconquete,3.53,ps,ps,false,"[""ps"",""rn""]","[""ps"",""rn""]",false,22.8,27.3,4.5,true,true,false
ecologistes:ideologiquement_coherent:462,ecologistes,ideologiquement_coherent,reconquete,3.09,ecologistes,ecologistes,false,"[""ecologistes"",""rn""]","[""ecologistes"",""rn""]",false,19.9,17.6,-2.3,true,true,false
renaissance:ideologiquement_coherent:463,renaissance,ideologiquement_coherent,reconquete,3.75,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""rn""]",true,17.3,20.6,3.3,false,true,true
horizons:ideologiquement_coherent:464,horizons,ideologiquement_coherent,reconquete,3.76,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""rn""]",true,23.6,23.6,0,true,true,false
lr:ideologiquement_coherent:465,lr,ideologiquement_coherent,reconquete,3.96,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""horizons""]",false,17.4,21.4,4,false,true,true
rn:ideologiquement_coherent:466,rn,ideologiquement_coherent,reconquete,3.62,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""ps""]",true,25.9,30.6,4.7,true,true,false
reconquete:ideologiquement_coherent:467,reconquete,ideologiquement_coherent,ecologistes,7.8,rn,horizons,true,"[""rn"",""horizons""]","[""horizons"",""ps""]",true,13.8,10.1,-3.7,false,false,false
nouvelle_energie:ideologiquement_coherent:468,nouvelle_energie,ideologiquement_coherent,reconquete,3.36,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""horizons""]","[""nouvelle_energie"",""rn""]",true,20.1,22.7,2.6,false,true,true
lfi:opportuniste_electoral:469,lfi,opportuniste_electoral,reconquete,3.87,lfi,lfi,false,"[""lfi"",""ps""]","[""lfi"",""rn""]",true,21.6,20.2,-1.4,true,true,false
ps:opportuniste_electoral:470,ps,opportuniste_electoral,reconquete,3.88,rn,horizons,true,"[""rn"",""horizons""]","[""horizons"",""rn""]",false,13.3,12.6,-0.7,false,false,false
ecologistes:opportuniste_electoral:471,ecologistes,opportuniste_electoral,reconquete,3.78,horizons,ecologistes,true,"[""horizons"",""rn""]","[""ecologistes"",""horizons""]",true,12.9,22.8,9.9,false,true,true
renaissance:opportuniste_electoral:472,renaissance,opportuniste_electoral,reconquete,3.61,horizons,renaissance,true,"[""horizons"",""renaissance""]","[""renaissance"",""horizons""]",false,14.7,15.2,0.5,true,true,false
