pairId,withdrawnPartyId,partnerId,withdrawScore,maintainScore,scoreDelta,withdrawQualified,maintainQualified,qualificationChanged,withdrawWon,maintainWon,victoryChanged,finalistsChanged
cfA-ps-opportuniste_electoral-109,reconquete,rn,90,95,-5,true,true,false,false,true,true,true
cfA-renaissance-opportuniste_electoral-111,ecologistes,ps,82,75,7,true,true,false,false,false,false,false
cfA-nouvelle_energie-opportuniste_electoral-116,reconquete,rn,94,87,7,true,true,false,true,true,false,false
cfA-lfi-parti_dabord-117,reconquete,rn,80,93,-13,true,true,false,false,true,true,true
cfA-renaissance-parti_dabord-120,reconquete,rn,94,94,0,true,true,false,true,true,false,true
cfA-horizons-parti_dabord-121,ecologistes,ps,94,92,2,true,true,false,true,true,false,false
cfA-lr-parti_dabord-122,reconquete,rn,92,89,3,true,true,false,true,true,false,true
cfA-rn-parti_dabord-123,ecologistes,lfi,77,73,4,true,true,false,true,false,true,true
cfA-ps-contrarien-136,reconquete,rn,82,92,-10,true,true,false,false,true,true,false
cfA-ecologistes-aleatoire-146,reconquete,rn,95,97,-2,true,true,false,true,true,false,true
cfA-nouvelle_energie-aleatoire-152,ecologistes,ps,84,91,-7,true,true,false,false,true,true,false
cfA-ecologistes-prudent-155,reconquete,rn,92,91,1,true,true,false,true,true,false,false
cfA-lr-prudent-158,reconquete,rn,88,94,-6,true,true,false,true,true,false,true
cfA-ps-risque-163,reconquete,rn,92,98,-6,true,true,false,true,true,false,false
cfA-renaissance-risque-165,reconquete,rn,51,77,-26,false,true,true,false,true,true,true
cfA-horizons-risque-166,reconquete,rn,91,90,1,true,true,false,true,true,false,true
cfA-nouvelle_energie-risque-170,reconquete,rn,92,81,11,true,true,false,true,false,true,true
cfA-lfi-ideologiquement_coherent-171,reconquete,rn,91,92,-1,true,true,false,true,true,false,true
cfA-ps-ideologiquement_coherent-172,reconquete,rn,98,93,5,true,true,false,true,true,false,true
cfA-nouvelle_energie-ideologiquement_coherent-179,reconquete,rn,91,94,-3,true,true,false,true,true,false,true
