partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,aleatoire,12,lr,11.9,0.2395826733953962,0.4416119314989849,0.5583880685010151
lfi,aleatoire,12,reconquete,7.9,0.2323280715344861,0.5645847525680882,0.43541524743191184
lfi,aleatoire,13,ps,10.2,0.32071894262605133,0.6031469184829356,0.39685308151706444
lfi,aleatoire,13,ecologistes,10.3,0.29376404577941473,0.6831552567859488,0.3168447432140512
lfi,aleatoire,13,renaissance,10.7,0.3879291016103894,0.4942787970528472,0.5057212029471527
lfi,aleatoire,13,horizons,8.8,0.32996970355619815,0.4763187760179323,0.5236812239820676
lfi,aleatoire,13,rn,10.8,0.3785726566023798,0.46996597106379734,0.5300340289362027
lfi,aleatoire,13,reconquete,8.4,0.372044542999036,0.4443265038732813,0.5556734961267187
lfi,aleatoire,13,nouvelle_energie,11.7,0.2560826733953962,0.43116253081778166,0.5688374691822183
lfi,aleatoire,14,lfi,13.3,0.32608809051196325,0.5633540463241621,0.4366459536758379
lfi,aleatoire,14,ecologistes,8.1,0.2778538120233696,0.5892966623620883,0.41070333763791167
lfi,aleatoire,14,renaissance,9.2,0.29029453278821504,0.42998648248520066,0.5700135175147993
lfi,aleatoire,14,horizons,11.5,0.23258775604841747,0.40750065696288573,0.5924993430371143
lfi,aleatoire,14,lr,9.4,0.17488267339539626,0.3597675809677189,0.6402324190322811
lfi,aleatoire,14,rn,12.9,0.38296970766091715,0.4304319297650783,0.5695680702349217
lfi,aleatoire,14,reconquete,6.9,0.3696198402201497,0.4007051032916583,0.5992948967083417
lfi,aleatoire,15,ps,11.5,0.38137736945110523,0.6123146552534537,0.38768534474654626
lfi,aleatoire,15,ecologistes,11.2,0.31849363511662343,0.7243247350545837,0.2756752649454163
lfi,aleatoire,15,renaissance,11.5,0.46,0.551861868992658,0.448138131007342
lfi,aleatoire,15,horizons,10.8,0.46,0.5261620664218353,0.4738379335781647
lfi,aleatoire,15,lr,7.7,0.3980726566023799,0.4732061407588098,0.5267938592411903
lfi,aleatoire,15,reconquete,6.3,0.26832807153448607,0.36545164090373605,0.634548359096264
lfi,aleatoire,15,nouvelle_energie,12.7,0.43366970766091717,0.48516000088954175,0.5148399991104582
lfi,aleatoire,16,lfi,12.9,0.46,0.44706075690428165,0.5529392430957183
lfi,aleatoire,16,ps,8.5,0.46,0.43607624523904004,0.5639237547609599
